address_id,customer_id,address_type,street_address,city,state,zip_code
A000001,C000001,Home,305 Antonio Plains Suite 741,Gainesville,FL,23590
A000002,C000002,Home,1295 Erik Drive,Jacksonville,FL,87030
A000003,C000002,Mailing,677 Robert Isle,Tallahassee,FL,94429
A000004,C000003,Home,0981 Amber Square Suite 812,Naples,FL,38820
A000005,C000004,Home,2405 Liu Tunnel Apt. 724,Tampa,FL,22458
A000006,C000005,Home,5115 Morgan Camp,Orlando,FL,39651
A000007,C000006,Home,6753 Lewis Grove Apt. 844,Davie,FL,65917
A000008,C000007,Home,6421 Woodard Mills Suite 741,Naples,FL,06855
A000009,C000008,Home,274 Bruce Place Suite 299,Hollywood,FL,10642
A000010,C000009,Home,1577 Wall Estates Suite 046,Naples,FL,03763
A000011,C000009,Mailing,59421 Diana Mount,Davie,FL,31877
A000012,C000010,Home,672 Erin Run Suite 267,Davie,FL,92181
A000013,C000011,Home,3463 Stacy Lodge,Hollywood,FL,70015
A000014,C000012,Home,31083 Wiggins Wells Apt. 007,Sarasota,FL,94010
A000015,C000013,Home,12993 Holloway Stravenue Apt. 761,Coral Springs,FL,33158
A000016,C000013,Mailing,57005 Travis Shoal,Sarasota,FL,67751
A000017,C000014,Home,96287 Dunn Manor Apt. 725,Tampa,FL,92281
A000018,C000015,Home,420 Smith Brooks,Sarasota,FL,41842
A000019,C000015,Mailing,4422 Lisa Rapids Suite 098,Coral Springs,FL,57092
A000020,C000016,Home,6311 Keith Road Suite 784,Davie,FL,20430
A000021,C000017,Home,247 Adkins Summit Apt. 400,Sarasota,FL,47106
A000022,C000018,Home,5576 Patrick Stravenue Apt. 732,Tallahassee,FL,27829
A000023,C000018,Mailing,2022 Keller Skyway Apt. 206,Coral Springs,FL,77273
A000024,C000019,Home,6276 Kirby Garden Suite 896,Fort Lauderdale,FL,76631
A000025,C000020,Home,99700 Wright Run,Sarasota,FL,70482
A000026,C000020,Mailing,7793 Kenneth Port Suite 632,Davie,FL,72709
A000027,C000021,Home,694 Amanda Square,Hollywood,FL,33672
A000028,C000022,Home,43190 Jeff Road Suite 443,Fort Lauderdale,FL,37573
A000029,C000023,Home,79957 Ayala Mission Suite 700,Fort Lauderdale,FL,07828
A000030,C000024,Home,8254 Stephen Divide Apt. 258,Naples,FL,27879
A000031,C000025,Home,478 Leon Brooks,Tallahassee,FL,31093
A000032,C000026,Home,921 Brooks Station,Boca Raton,FL,23409
A000033,C000027,Home,281 James Creek,Sarasota,FL,55755
A000034,C000028,Home,204 Green Island Suite 610,Sarasota,FL,66516
A000035,C000029,Home,0152 Katherine Orchard Apt. 895,Tampa,FL,58415
A000036,C000029,Mailing,4047 Teresa Streets Suite 963,Gainesville,FL,70696
A000037,C000030,Home,8139 Christian Roads Suite 829,Coral Springs,FL,57269
A000038,C000030,Mailing,349 Campos Forks Suite 939,Boca Raton,FL,39640
A000039,C000031,Home,944 Mary Mall,Gainesville,FL,43454
A000040,C000032,Home,89894 Grant Way,Naples,FL,03944
A000041,C000032,Mailing,9085 Kevin Wall Apt. 575,Coral Springs,FL,51776
A000042,C000033,Home,39345 Cobb Center,Sarasota,FL,95430
A000043,C000034,Home,7849 Smith Island Suite 947,Jacksonville,FL,97754
A000044,C000035,Home,880 Hunter Circle Suite 734,Fort Lauderdale,FL,54404
A000045,C000036,Home,32906 Blackburn Gateway,Fort Lauderdale,FL,98695
A000046,C000037,Home,701 Martinez Ports Suite 251,Tampa,FL,05301
A000047,C000038,Home,34116 Jones Falls,Tallahassee,FL,62835
A000048,C000039,Home,8021 Moore Pines Suite 187,Boca Raton,FL,31578
A000049,C000040,Home,830 Jeffrey Ridges Suite 165,Gainesville,FL,45143
A000050,C000041,Home,335 Johnson Light Suite 286,Pembroke Pines,FL,70880
A000051,C000042,Home,75394 Benson Village,West Palm Beach,FL,13423
A000052,C000043,Home,87476 Deborah Springs,Davie,FL,99090
A000053,C000044,Home,377 Elliott Courts Apt. 903,Coral Springs,FL,87909
A000054,C000044,Mailing,259 Katelyn Extensions Suite 667,Davie,FL,76109
A000055,C000045,Home,4883 Owens Streets,Coral Springs,FL,59498
A000056,C000046,Home,80505 Jack Junction Suite 989,Miami,FL,46392
A000057,C000046,Mailing,59788 Jessica Mews,West Palm Beach,FL,88125
A000058,C000047,Home,901 Johnathan Extension Apt. 072,Tampa,FL,02084
A000059,C000047,Mailing,023 William Dam Suite 049,Gainesville,FL,08034
A000060,C000048,Home,8598 Cummings Forges Apt. 649,Hollywood,FL,79111
A000061,C000049,Home,9563 Renee Hill Suite 607,Coral Springs,FL,62657
A000062,C000050,Home,785 Billy Heights,Gainesville,FL,76392
A000063,C000051,Home,25794 Stout Hills,Naples,FL,43802
A000064,C000052,Home,6997 Casey Place Apt. 034,Miami,FL,09270
A000065,C000053,Home,3480 Brown Locks Apt. 799,Gainesville,FL,29042
A000066,C000054,Home,53286 Deanna Locks Suite 275,Boca Raton,FL,14813
A000067,C000055,Home,4563 Hall Lodge Apt. 638,Fort Lauderdale,FL,21318
A000068,C000056,Home,3316 Sarah Junctions,Naples,FL,53359
A000069,C000057,Home,968 Woods Forge,Naples,FL,33275
A000070,C000058,Home,9017 Abigail Hills,Sarasota,FL,39969
A000071,C000058,Mailing,098 Alexander Lane,Tampa,FL,95218
A000072,C000059,Home,9486 Anthony Island,Naples,FL,35923
A000073,C000059,Mailing,1842 Ann Bridge,Orlando,FL,45792
A000074,C000060,Home,3601 Linda Ridges Apt. 393,Orlando,FL,87871
A000075,C000061,Home,80003 Lori Ports Suite 006,Miami,FL,73808
A000076,C000061,Mailing,81880 Warren Mews Apt. 901,Jacksonville,FL,24252
A000077,C000062,Home,69367 Alvarez Ramp Apt. 585,Tallahassee,FL,26862
A000078,C000063,Home,91710 Fitzgerald Roads Suite 863,Boca Raton,FL,19900
A000079,C000064,Home,6287 Deleon Crescent,West Palm Beach,FL,65277
A000080,C000065,Home,04791 Vaughn Ridges Apt. 900,Orlando,FL,08818
A000081,C000066,Home,967 Wayne Lakes,Tallahassee,FL,59575
A000082,C000067,Home,06707 Tara Cliffs Suite 805,Sarasota,FL,74919
A000083,C000068,Home,61958 Jennifer Ridge Suite 370,Orlando,FL,86144
A000084,C000069,Home,68609 Pamela Knoll Apt. 707,West Palm Beach,FL,88561
A000085,C000070,Home,30494 Shane Mountains Apt. 332,Fort Lauderdale,FL,27969
A000086,C000071,Home,95611 Nancy Mountain Apt. 338,Pembroke Pines,FL,47747
A000087,C000072,Home,97139 Austin Burg Suite 767,Hollywood,FL,21032
