customer_id,first_name,last_name,email,phone,gender,birth_date,signup_date
C000001,Marilyn,Brown,rachel57@example.com,7093462408,Female,1971-08-18,2023-04-16
C000002,Chad,Aguilar,andrewlopez@example.net,(474)841-6894x4096,Male,1955-12-09,2022-12-28
C000003,Julie,Brooks,davisandrew@example.net,755-392-5799,Male,1946-11-30,2025-03-04
C000004,Tiffany,Murphy,thomaspitts@example.com,(582)246-4650x770,Male,1986-11-28,2024-10-18
C000005,Linda,Fox,james17@example.com,(339)839-5875x3305,Female,1993-05-17,2026-03-06
C000006,Alexa,Mills,yperkins@example.net,903.465.3781,Male,1997-02-04,2024-01-14
C000007,John,Russell,stacy01@example.com,969-749-5290x7996,Male,1950-04-22,2022-10-16
C000008,Tony,Martin,jonathan96@example.com,(423)837-4100x63382,Male,1981-01-22,2024-06-07
C000009,Jason,Martin,georgewhite@example.com,8273775781,Male,1992-11-07,2021-12-04
C000010,Thomas,Campos,carlosmcdonald@example.org,+1-814-506-7731,Male,1965-01-08,2022-11-20
C000011,Luis,Guerrero,stephanie57@example.com,001-829-247-4176,Female,2006-02-22,2021-10-10
C000012,Eric,Lopez,evanslori@example.net,496-244-6250x45919,Male,1948-06-11,2022-04-21
C000013,Christian,Lopez,uwhitaker@example.com,6749129220,Female,1988-11-16,2022-12-17
C000014,Sierra,Parker,danielle09@example.org,+1-491-987-0383x6962,Male,1954-07-19,2022-03-04
C000015,Emily,James,vbrooks@example.com,535-954-5503,Male,2007-10-13,2024-08-10
C000016,Gina,Allen,tiffanywells@example.org,001-269-298-6469x04655,Male,1954-11-06,2026-01-27
C000017,Edward,Perez,pthompson@example.org,6018211819,Female,1937-07-06,2026-03-12
C000018,Rebecca,Vargas,lmoon@example.org,001-229-287-5929x81644,Female,2004-10-22,2022-04-02
C000019,Donald,Pratt,smithmark@example.org,854.711.8170x852,Male,1965-05-23,2022-07-16
C000020,Andrea,Cole,alexander41@example.org,9545953059,Female,1936-08-19,2025-03-22
C000021,Jeffery,Ellis,david95@example.net,(935)380-9403x44214,Female,2000-09-26,2024-10-05
C000022,Louis,Thomas,tanyawalls@example.org,393.209.4202x03740,Male,1977-07-28,2024-05-11
C000023,Mary,Porter,dnorris@example.net,001-602-445-1612x06877,Female,1987-09-25,2022-06-03
C000024,Richard,Jones,torreschristopher@example.org,458-946-5061,Male,1972-07-17,2026-05-27
C000025,Betty,Jones,waltermarshall@example.net,669-841-4332x88046,Female,1946-04-17,2022-04-19
C000026,Donald,Shepherd,dreid@example.org,509.842.2887x887,Female,1971-02-17,2023-06-24
C000027,Brett,Lozano,lyonsbrian@example.net,(296)509-1504,Female,1987-01-21,2022-03-25
C000028,Anthony,Stephenson,jonathanhuynh@example.org,828-243-1423x64452,Male,1975-01-19,2024-07-01
C000029,Matthew,Arias,hthomas@example.net,(777)208-1268,Male,1984-07-16,2025-11-01
C000030,Alicia,Wise,darrylmartinez@example.com,425.623.4108x13502,Male,2006-05-02,2024-09-12
C000031,Jennifer,Holden,matthewsrobert@example.org,(827)604-3130,Female,2006-06-03,2023-06-12
C000032,Hannah,Oliver,monica24@example.org,372.773.9379,Male,1941-02-18,2023-05-28
C000033,Lisa,Reyes,kimberly68@example.net,391-287-1179,Female,1951-11-20,2025-10-21
C000034,Frederick,Williams,amyshaffer@example.com,+1-648-784-5911x42306,Male,1958-07-19,2021-12-23
C000035,Deanna,Mann,xcollier@example.org,001-868-885-4207,Male,1947-06-02,2023-05-08
C000036,Brett,Weber,ecooley@example.net,408.889.1430x423,Male,1940-04-17,2026-01-03
C000037,Crystal,Phillips,aburton@example.com,+1-578-637-5306x5185,Female,1952-03-27,2023-04-23
C000038,Edward,Wallace,kevinhill@example.net,776-473-4048,Male,1974-11-13,2024-08-03
C000039,Mitchell,Gutierrez,rodriguezjustin@example.com,+1-465-437-8318,Female,1996-04-26,2023-06-02
